global_sales,critic_score
1.25,69
1.25,74
1.25,76
1.25,79
1.25,83
1.25,86
1.25,86
1.25,87
1.25,88
1.24,52
1.24,61
1.24,76
1.24,78
1.24,78
1.24,79
1.24,81
1.24,85
1.24,87
1.23,32
1.23,57
1.23,63
1.23,63
1.23,70
1.23,70
1.23,75
1.23,76
1.23,76
1.23,80
1.23,80
1.23,82
1.23,83
1.23,91
1.22,63
1.22,78
1.22,80
1.22,84
1.22,86
1.22,89
1.22,89
1.21,69
1.21,70
1.21,71
1.21,71
1.21,73
1.21,73
1.21,75
1.21,76
1.21,83
1.21,85
1.21,85
1.21,85
1.21,86
1.21,86
1.21,87
1.2,59
1.2,65
1.2,68
1.2,70
1.2,73
1.2,78
1.2,82
1.2,90
1.2,92
1.19,55
1.19,68
1.19,71
1.19,75
1.19,76
1.19,76
1.19,81
1.19,81
1.19,83
1.19,84
1.19,89
1.18,59
1.18,64
1.18,77
1.18,78
1.18,87
1.18,88
1.18,95
1.17,52
1.17,57
1.17,62
1.17,65
1.17,70
1.17,72
1.17,74
1.17,76
1.17,77
1.17,81
1.17,81
1.17,84
1.17,84
1.17,96
1.16,43
1.16,45
1.16,70
1.16,76
1.16,77
1.16,79
1.16,83
1.16,85
1.16,85
1.16,88
1.16,88
1.15,43
1.15,53
1.15,62
1.15,68
1.15,69
1.15,73
1.15,76
1.15,78
1.15,83
1.15,83
1.15,86
1.15,92
1.14,51
1.14,56
1.14,65
1.14,73
1.14,74
1.14,76
1.14,79
1.14,79
1.14,81
1.14,81
1.14,81
1.14,84
1.14,88
1.14,91
1.13,50
1.13,67
1.13,73
1.13,79
1.13,79
1.13,80
1.13,82
1.13,83
1.13,84
1.13,85
1.13,87
1.12,57
1.12,70
1.12,71
1.12,73
1.12,77
1.12,78
1.12,78
1.12,79
1.12,80
1.12,82
1.12,82
1.12,83
1.12,86
1.12,88
1.12,93
1.11,69
1.11,69
1.11,74
1.11,75
1.11,79
1.11,82
1.11,84
1.11,87
1.11,94
1.1,61
1.1,73
1.1,74
1.1,76
1.1,80
1.1,80
1.1,81
1.1,85
1.1,86
1.1,87
1.09,47
1.09,54
1.09,65
1.09,66
1.09,66
1.09,68
1.09,74
1.09,75
1.09,75
1.09,76
1.09,77
1.09,77
1.09,83
1.09,84
1.09,86
1.09,92
1.09,97
1.08,40
1.08,58
1.08,67
1.08,69
1.08,70
1.08,73
1.08,75
1.08,85
1.08,88
1.08,90
1.08,91
1.07,47
1.07,59
1.07,60
1.07,66
1.07,70
1.07,73
1.07,75
1.07,76
1.07,76
1.07,82
1.07,85
1.07,86
1.07,88
1.06,63
1.06,64
1.06,65
1.06,65
1.06,71
1.06,72
1.06,72
1.06,75
1.06,77
1.06,80
1.06,81
1.06,83
1.06,84
1.06,84
1.06,87
1.06,87
1.06,89
1.06,89
1.06,90
1.06,91
1.05,44
1.05,61
1.05,70
1.05,71
1.05,75
1.05,75
1.05,80
1.05,81
1.05,82
1.05,82
1.05,83
1.05,83
1.05,89
1.05,92
1.04,42
1.04,46
1.04,65
1.04,73
1.04,74
1.04,80
1.04,81
1.04,83
1.04,83
1.04,86
1.04,91
1.03,67
1.03,68
1.03,71
1.03,73
1.03,75
1.03,77
1.03,78
1.03,79
1.03,81
1.03,82
1.03,84
1.03,86
1.03,86
1.03,86
1.03,88
1.03,93
1.02,48
1.02,54
1.02,61
1.02,65
1.02,66
1.02,70
1.02,70
1.02,71
1.02,72
1.02,72
1.02,79
1.02,80
1.02,83
1.02,83
1.02,84
1.02,86
1.02,90
1.02,92
1.01,51
1.01,64
1.01,72
1.01,74
1.01,76
1.01,77
1.01,80
1.01,81
1.01,81
1.01,86
1.01,90
1,51
1,67
1,72
1,73
1,86
1,87
1,92
0.99,51
0.99,55
0.99,58
0.99,66
0.99,70
0.99,70
0.99,71
0.99,75
0.99,78
0.99,79
0.99,79
0.99,82
0.99,83
0.99,85
0.99,87
0.99,88
0.99,89
0.98,44
0.98,54
0.98,59
0.98,75
0.98,77
0.98,78
0.98,79
0.98,80
0.98,82
0.98,86
0.98,91
0.97,54
0.97,66
0.97,75
0.97,75
0.97,77
0.97,78
0.97,79
0.97,81
0.97,81
0.97,82
0.97,82
0.97,84
0.97,85
0.97,86
0.97,87
0.97,88
0.97,89
0.97,93
0.96,65
0.96,70
0.96,71
0.96,76
0.96,76
0.96,77
0.96,81
0.96,82
0.96,85
0.96,87
0.96,88
0.96,88
0.95,52
0.95,60
0.95,60
0.95,63
0.95,68
0.95,69
0.95,71
0.95,71
0.95,73
0.95,73
0.95,74
0.95,75
0.95,78
0.95,78
0.95,79
0.95,79
0.95,85
0.95,87
0.94,47
0.94,64
0.94,70
0.94,73
0.94,77
0.94,78
0.94,79
0.94,81
0.94,83
0.94,83
0.94,83
0.94,84
0.94,86
0.94,87
0.94,92
0.93,39
0.93,61
0.93,64
0.93,66
0.93,66
0.93,70
0.93,70
0.93,71
0.93,71
0.93,73
0.93,76
0.93,77
0.93,77
0.93,79
0.93,79
0.93,80
0.93,80
0.93,81
0.93,83
0.93,85
0.93,85
0.93,89
0.93,90
0.93,90
0.92,48
0.92,59
0.92,59
0.92,60
0.92,61
0.92,63
0.92,65
0.92,71
0.92,73
0.92,79
0.92,79
0.92,80
0.92,81
0.92,82
0.92,85
0.92,86
0.92,87
0.91,56
0.91,57
0.91,59
0.91,63
0.91,70
0.91,74
0.91,75
0.91,76
0.91,76
0.91,76
0.91,77
0.91,78
0.91,81
0.91,86
0.91,90
0.91,92
0.9,50
0.9,61
0.9,68
0.9,69
0.9,70
0.9,70
0.9,70
0.9,71
0.9,71
0.9,71
0.9,73
0.9,73
0.9,74
0.9,74
0.9,76
0.9,77
0.9,78
0.9,78
0.9,80
0.9,82
0.9,85
0.9,86
0.9,88
0.9,90
0.89,62
0.89,67
0.89,68
0.89,70
0.89,70
0.89,71
0.89,75
0.89,76
0.89,76
0.89,77
0.89,77
0.89,79
0.89,80
0.89,80
0.89,81
0.89,83
0.89,83
0.89,83
0.89,84
0.89,85
0.89,85
0.89,91
0.88,51
0.88,61
0.88,68
0.88,71
0.88,74
0.88,75
0.88,77
0.88,78
0.88,78
0.88,78
0.88,82
0.88,82
0.88,84
0.88,84
0.88,86
0.88,86
0.88,90
0.88,93
0.87,48
0.87,55
0.87,62
0.87,63
0.87,65
0.87,65
0.87,68
0.87,69
0.87,69
0.87,69
0.87,72
0.87,73
0.87,73
0.87,76
0.87,76
0.87,77
0.87,80
0.87,80
0.87,81
0.87,83
0.87,85
0.87,87
0.87,88
0.87,88
0.87,92
0.86,53
0.86,58
0.86,72
0.86,72
0.86,74
0.86,76
0.86,76
0.86,76
0.86,80
0.86,81
0.85,64
0.85,65
0.85,71
0.85,71
0.85,72
0.85,73
0.85,74
0.85,75
0.85,78
0.85,81
0.85,81
0.85,82
0.85,83
0.85,83
0.85,85
0.85,86
0.85,88
0.84,51
0.84,61
0.84,62
0.84,63
0.84,67
0.84,68
0.84,71
0.84,77
0.84,78
0.84,80
0.84,83
0.84,83
0.84,84
0.84,84
0.84,84
0.84,86
0.84,86
0.84,89
0.83,49
0.83,57
0.83,57
0.83,60
0.83,69
0.83,75
0.83,75
0.83,77
0.83,77
0.83,78
0.83,78
0.83,79
0.83,82
0.83,82
0.83,82
0.83,83
0.83,84
0.83,84
0.82,53
0.82,63
0.82,65
0.82,70
0.82,74
0.82,75
0.82,77
0.82,78
0.82,78
0.82,81
0.82,83
0.82,86
0.82,90
0.82,91
0.81,60
0.81,60
0.81,66
0.81,70
0.81,73
0.81,73
0.81,74
0.81,75
0.81,75
0.81,76
0.81,78
0.81,78
0.81,80
0.81,81
0.81,86
0.81,86
0.81,86
0.8,45
0.8,49
0.8,57
0.8,68
0.8,72
0.8,75
0.8,75
0.8,78
0.8,79
0.8,80
0.8,80
0.8,83
0.8,84
0.8,86
0.8,87
0.79,34
0.79,48
0.79,53
0.79,57
0.79,64
0.79,65
0.79,69
0.79,70
0.79,71
0.79,72
0.79,73
0.79,74
0.79,74
0.79,75
0.79,76
0.79,76
0.79,78
0.79,79
0.79,82
0.79,83
0.79,83
0.79,84
0.79,85
0.79,87
0.78,55
0.78,57
0.78,65
0.78,68
0.78,71
0.78,72
0.78,73
0.78,74
0.78,79
0.78,80
0.78,81
0.78,81
0.78,85
0.78,85
0.78,86
0.78,87
0.78,88
0.77,38
0.77,45
0.77,46
0.77,48
0.77,52
0.77,53
0.77,57
0.77,57
0.77,66
0.77,69
0.77,70
0.77,70
0.77,71
0.77,77
0.77,78
0.77,79
0.77,81
0.77,81
0.77,81
0.77,84
0.76,39
0.76,51
0.76,52
0.76,52
0.76,56
0.76,63
0.76,65
0.76,66
0.76,69
0.76,71
0.76,76
0.76,81
0.76,85
0.76,87
0.76,91
0.76,94
0.76,95
0.75,55
0.75,58
0.75,59
0.75,60
0.75,60
0.75,62
0.75,67
0.75,69
0.75,69
0.75,72
0.75,72
0.75,75
0.75,76
0.75,76
0.75,78
0.75,80
0.75,81
0.75,81
0.75,81
0.75,81
0.75,82
0.75,83
0.75,86
0.75,89
0.75,95
0.74,49
0.74,54
0.74,60
0.74,63
0.74,65
0.74,67
0.74,69
0.74,70
0.74,72
0.74,74
0.74,74
0.74,76
0.74,77
0.74,79
0.74,79
0.74,79
0.74,80
0.74,82
0.74,83
0.74,84
0.74,85
0.74,86
0.74,87
0.74,91
0.73,55
0.73,55
0.73,55
0.73,64
0.73,71
0.73,72
0.73,72
0.73,74
0.73,74
0.73,75
0.73,76
0.73,76
0.73,78
0.73,79
0.73,79
0.73,79
0.73,80
0.73,80
0.73,84
0.73,85
0.73,86
0.73,86
0.73,88
0.72,55
0.72,65
0.72,65
0.72,66
0.72,68
0.72,70
0.72,72
0.72,73
0.72,73
0.72,74
0.72,74
0.72,74
0.72,74
0.72,75
0.72,75
0.72,76
0.72,77
0.72,79
0.72,79
0.72,81
0.72,82
0.72,83
0.72,83
0.72,84
0.72,86
0.72,87
0.72,87
0.72,90
0.72,91
0.72,93
0.71,39
0.71,43
0.71,46
0.71,48
0.71,49
0.71,59
0.71,60
0.71,66
0.71,66
0.71,68
0.71,73
0.71,73
0.71,75
0.71,77
0.71,77
0.71,79
0.71,83
0.71,85
0.71,86
0.71,89
0.71,91
0.71,92
0.71,93
0.7,43
0.7,50
0.7,58
0.7,58
0.7,63
0.7,65
0.7,65
0.7,65
0.7,66
0.7,66
0.7,67
0.7,67
0.7,68
0.7,71
0.7,73
0.7,73
0.7,78
0.7,78
0.7,79
0.7,80
0.7,81
0.7,82
0.7,84
0.7,85
0.7,86
0.7,86
0.7,89
0.7,89
0.7,90
0.7,90
0.7,92
0.69,40
0.69,50
0.69,62
0.69,65
0.69,65
0.69,68
0.69,70
0.69,75
0.69,75
0.69,76
0.69,77
0.69,77
0.69,77
0.69,82
0.69,84
0.69,89
0.68,42
0.68,63
0.68,66
0.68,67
0.68,68
0.68,69
0.68,70
0.68,71
0.68,72
0.68,74
0.68,76
0.68,78
0.68,79
0.68,80
0.68,81
0.68,82
0.68,82
0.68,85
0.68,85
0.68,85
0.68,89
0.68,89
0.67,60
0.67,63
0.67,66
0.67,67
0.67,68
0.67,71
0.67,73
0.67,74
0.67,78
0.67,79
0.67,81
0.67,82
0.67,84
0.67,84
0.67,86
0.67,89
0.66,58
0.66,60
0.66,61
0.66,62
0.66,63
0.66,63
0.66,64
0.66,65
0.66,65
0.66,67
0.66,67
0.66,69
0.66,69
0.66,69
0.66,70
0.66,70
0.66,71
0.66,71
0.66,71
0.66,74
0.66,76
0.66,77
0.66,77
0.66,78
0.66,78
0.66,80
0.66,81
0.66,81
0.66,81
0.66,83
0.66,83
0.66,88
0.66,88
0.66,92
0.66,94
0.65,47
0.65,54
0.65,59
0.65,60
0.65,60
0.65,60
0.65,63
0.65,63
0.65,64
0.65,64
0.65,68
0.65,70
0.65,73
0.65,73
0.65,74
0.65,76
0.65,77
0.65,80
0.65,80
0.65,82
0.65,84
0.65,85
0.65,89
0.65,89
0.64,50
0.64,54
